Exported DNA SM-ID	Container	Stock DNA SM-ID	Container	Position	Parent DNA SM-ID	Root SM-ID	Original Material Type	Material Type	Collaborator Participant ID	Collaborator Sample ID	Collaborator Sample ID_2	Collaborator Sample ID_3	Sample Type	Tumor Type	Culture Medium	Passage Number	Percent FBS	Media on Tube	Notes 1	Notes 2	External Sample ID
SM-D59KY	CO-19969476	SM-D183B	CO-19794146	B07		SM-D183B	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT67	JNT67			Tumor	Primary							JNT67
SM-D59KZ	CO-19969476	SM-D183C	CO-19794146	B08		SM-D183C	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT68	JNT68			Tumor	Primary							JNT68
SM-D59L1	CO-19969476	SM-D183D	CO-19794146	B09		SM-D183D	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT69	JNT69			Tumor	Primary							JNT69
SM-D59L2	CO-19969476	SM-D183E	CO-19794146	B10		SM-D183E	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT70	JNT70			Tumor	Primary							JNT70
SM-D59L3	CO-19969476	SM-D183F	CO-19794146	B11		SM-D183F	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT71	JNT71			Tumor	Metastatic							JNT71
SM-D59L4	CO-19969476	SM-D183G	CO-19794146	B12		SM-D183G	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT72	JNT72			Tumor	Primary							JNT72
SM-D59L5	CO-19969476	SM-D183H	CO-19794146	C01		SM-D183H	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT73	JNT73			Tumor	Primary							JNT73
SM-D59L6	CO-19969476	SM-D183I	CO-19794146	C02		SM-D183I	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT74	JNT74			Tumor	Primary							JNT74
SM-D59L7	CO-19969476	SM-D183J	CO-19794146	C03		SM-D183J	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT75	JNT75			Tumor	Primary							JNT75
SM-D59L8	CO-19969476	SM-D183K	CO-19794146	C04		SM-D183K	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT76	JNT76			Tumor	Primary							JNT76
SM-D59L9	CO-19969476	SM-D183L	CO-19794146	C05		SM-D183L	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT77	JNT77			Tumor	Primary							JNT77
SM-D59LA	CO-19969476	SM-D183M	CO-19794146	C06		SM-D183M	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT78	JNT78			Tumor	Primary							JNT78
SM-D59LB	CO-19969476	SM-D183N	CO-19794146	C07		SM-D183N	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT79	JNT79			Tumor	Primary							JNT79
SM-D59LC	CO-19969476	SM-D183O	CO-19794146	C08		SM-D183O	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT80	JNT80			Tumor	Primary							JNT80
SM-D59LD	CO-19969476	SM-D183P	CO-19794146	C09		SM-D183P	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT81	JNT81			Tumor	Primary							JNT81
SM-D59LE	CO-19969476	SM-D183Q	CO-19794146	C10		SM-D183Q	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT82	JNT82			Tumor	Primary							JNT82
SM-D59LF	CO-19969476	SM-D183R	CO-19794146	C11		SM-D183R	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT83	JNT83			Tumor	Primary							JNT83
SM-D59LG	CO-19969476	SM-D183S	CO-19794146	C12		SM-D183S	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT84	JNT84			Tumor	Primary							JNT84
SM-D59LH	CO-19969476	SM-D183T	CO-19794146	D01		SM-D183T	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT85	JNT85			Tumor	Primary							JNT85
SM-D59LI	CO-19969476	SM-D183U	CO-19794146	D02		SM-D183U	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT86	JNT86			Tumor	Primary							JNT86
SM-D59LJ	CO-19969476	SM-D183V	CO-19794146	D03		SM-D183V	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT87	JNT87			Tumor	Primary							JNT87
